full_name	category	status	action	starred_at	pushed_at	archived	stars	language	topics	description
Heydon/inclusive-design-checklist	前端 / UI	3. 長期停更 (>3年)	UNSTAR	2017-11-15	2020-06-11	False	2762	JavaScript		Aims to be the biggest checklist of inclusive design considerations ever
Chimeejs/chimee	後端 / API / 框架	3. 長期停更 (>3年)	UNSTAR	2017-11-10	2020-06-15	False	2394	JavaScript	advertising-plugin|chimee|flv|framework|h5-video|h5-video-player|hls|html5|html5-video|html5-video-player|mp4|players|video|video-element|video-player|videoplayer|videoplaymanager|videoplugin|web-video-player	a video player framework aims to bring wonderful experience on browser
EngineLin/Front-End-Checklist	前端 / UI	3. 長期停更 (>3年)	UNSTAR	2017-10-31	2018-09-03	False	419			🗂 給現代網站及細膩開發者使用，超棒的前端開發者清單
adobe-fonts/source-han-serif	前端 / UI	4. 停更 (2-3年)	REVIEW	2017-10-19	2024-07-30	False	9667	Shell	cff|cff2|cjk|font|opentype|otc|otf|source-han|variable-fonts	Source Han Serif | 思源宋体 | 思源宋體 | 思源宋體 香港 | 源ノ明朝 | 본명조
l10n-tw/cwtex-q-fonts	前端 / UI	3. 長期停更 (>3年)	UNSTAR	2017-10-19	2022-06-16	False	196			修正後的 cwTeX TTF 字型
nanohop/sketch-to-react-native	前端 / UI	3. 長期停更 (>3年)	UNSTAR	2017-10-19	2020-09-03	False	2313	Python		Convert Sketch files into React Native components
apache/incubator-weex-ui	前端 / UI	1. 已封存	UNSTAR	2017-10-13	2021-05-27	True	4717	Vue	mobile|ui-components|vue|weex	🏄  A rich interaction, lightweight, high performance UI library based on Weex.
PunitGr/QuickBill	前端 / UI	3. 長期停更 (>3年)	UNSTAR	2017-10-05	2022-01-26	False	327	SCSS	es6|flowtype|invoice|invoice-generator|invoice-pdf|javascript|pdf|progressive-web-app|quickbill|react-redux|react-router|reactjs|unlimited-invoices|webpack	Create unlimited invoices for free.
samejack/sc-dictionary	其他 / 未分類	4. 停更 (2-3年)	UNSTAR	2017-10-02	2024-04-08	False	112			繁體+簡體中文詞庫字典檔
keremciu/font-bundles	前端 / UI	3. 長期停更 (>3年)	UNSTAR	2017-10-02	2021-02-26	False	467			Main font-bundle for sketch icon-font plugin.
